"date","CumConfirmed","Pred_q25","Pred_med","Pred_q975"
2020-04-21,204178,NA,NA,NA
2020-04-22,208389,NA,NA,NA
2020-04-23,213024,NA,NA,NA
2020-04-24,202990,NA,NA,NA
2020-04-25,205905,NA,NA,NA
2020-04-26,207634,NA,NA,NA
2020-04-27,209465,NA,NA,NA
2020-04-28,210773,NA,NA,NA
2020-04-29,212917,NA,NA,NA
2020-04-30,213435,NA,NA,NA
2020-05-01,215216,NA,NA,NA
2020-05-02,216582,NA,NA,NA
2020-05-03,217466,NA,NA,NA
2020-05-04,218011,NA,NA,NA
2020-05-05,219329,NA,NA,NA
2020-05-06,220325,NA,NA,NA
2020-05-07,221447,NA,NA,NA
2020-05-08,222857,NA,NA,NA
2020-05-09,223578,NA,NA,NA
2020-05-10,224350,NA,NA,NA
2020-05-11,227436,NA,NA,NA
2020-05-12,228030,NA,NA,NA
2020-05-13,228691,NA,NA,NA
2020-05-14,229540,NA,NA,NA
2020-05-15,230183,NA,NA,NA
2020-05-16,230698,NA,NA,NA
2020-05-17,230698,NA,NA,NA
2020-05-18,231606,NA,NA,NA
2020-05-19,232037,NA,NA,NA
2020-05-20,232555,NA,NA,NA
2020-05-21,233037,NA,NA,NA
2020-05-22,234824,NA,NA,NA
2020-05-23,235290,NA,NA,NA
2020-05-24,235772,NA,NA,NA
2020-05-25,235400,NA,NA,NA
2020-05-26,236259,NA,NA,NA
2020-05-27,236259,NA,NA,NA
2020-05-28,237906,NA,NA,NA
2020-05-29,238564,NA,NA,NA
2020-05-30,239228,NA,NA,NA
2020-05-31,239479,NA,NA,NA
2020-06-01,239638,NA,NA,NA
2020-06-02,239932,NA,NA,NA
2020-06-03,240326,NA,NA,NA
2020-06-04,240660,NA,NA,NA
2020-06-05,240978,NA,NA,NA
2020-06-06,241310,NA,NA,NA
2020-06-07,241550,NA,NA,NA
2020-06-08,241717,NA,NA,NA
2020-06-09,241966,NA,NA,NA
2020-06-10,242280,NA,NA,NA
2020-06-11,242707,NA,NA,NA
2020-06-12,243209,NA,NA,NA
2020-06-13,243605,NA,NA,NA
2020-06-14,243928,NA,NA,NA
2020-06-15,244109,NA,NA,NA
2020-06-16,244328,NA,NA,NA
2020-06-17,244683,NA,NA,NA
2020-06-18,245268,NA,NA,NA
2020-06-19,245575,NA,NA,NA
2020-06-20,245938,NA,NA,NA
2020-06-21,246272,NA,NA,NA
2020-06-22,246504,NA,NA,NA
2020-06-23,246752,NA,NA,NA
2020-06-24,247086,NA,NA,NA
2020-06-25,247486,NA,NA,NA
2020-06-26,247905,NA,NA,NA
2020-06-27,248469,NA,NA,NA
2020-06-28,248770,NA,NA,NA
2020-06-29,248970,NA,NA,NA
2020-06-30,249271,NA,NA,NA
2020-07-01,249659,NA,NA,NA
2020-07-02,250103,NA,NA,NA
2020-07-03,250545,NA,NA,NA
2020-07-04,250545,NA,NA,NA
2020-07-05,250545,NA,NA,NA
2020-07-06,251789,NA,NA,NA
2020-07-07,252130,NA,NA,NA
2020-07-08,252513,NA,NA,NA
2020-07-09,253056,NA,NA,NA
2020-07-10,253908,NA,NA,NA
2020-07-11,253908,NA,NA,NA
2020-07-12,253908,NA,NA,NA
2020-07-13,255953,NA,NA,NA
2020-07-14,256619,NA,NA,NA
2020-07-15,257494,NA,NA,NA
2020-07-16,258855,NA,NA,NA
2020-07-17,260255,NA,NA,NA
2020-07-18,260255,NA,NA,NA
2020-07-19,260255,NA,NA,NA
2020-07-20,264836,NA,NA,NA
2020-07-21,266194,NA,NA,NA
2020-07-22,267551,NA,NA,NA
2020-07-23,270166,NA,NA,NA
2020-07-24,272421,NA,NA,NA
2020-07-25,272421,NA,NA,NA
2020-07-26,272421,NA,NA,NA
2020-07-27,278782,NA,NA,NA
2020-07-28,280610,NA,NA,NA
2020-07-29,282641,NA,NA,NA
2020-07-30,285430,NA,NA,NA
2020-07-31,288522,NA,NA,NA
2020-08-01,288522,NA,NA,NA
2020-08-02,288522,NA,NA,NA
2020-08-03,297054,NA,NA,NA
2020-08-04,302814,NA,NA,NA
2020-08-05,305767,NA,NA,NA
2020-08-06,309855,NA,NA,NA
2020-08-07,314362,NA,NA,NA
2020-08-08,314362,NA,NA,NA
2020-08-09,314362,NA,NA,NA
2020-08-10,322980,NA,NA,NA
2020-08-11,326612,NA,NA,NA
2020-08-12,329784,NA,NA,NA
2020-08-13,337334,NA,NA,NA
2020-08-14,342813,NA,NA,NA
2020-08-15,342813,NA,NA,NA
2020-08-16,342813,NA,NA,NA
2020-08-17,359082,NA,NA,NA
2020-08-18,364196,NA,NA,NA
2020-08-19,370867,NA,NA,NA
2020-08-20,377906,NA,NA,NA
2020-08-21,386054,NA,NA,NA
2020-08-22,386054,NA,NA,NA
2020-08-23,386054,NA,NA,NA
2020-08-24,405436,NA,NA,NA
2020-08-25,412553,NA,NA,NA
2020-08-26,419849,NA,NA,NA
2020-08-27,429507,NA,NA,NA
2020-08-28,439286,NA,NA,NA
2020-08-29,439286,NA,NA,NA
2020-08-30,439286,NA,NA,NA
2020-08-31,462858,NA,NA,NA
2020-09-01,470973,NA,NA,NA
2020-09-02,479554,NA,NA,NA
2020-09-03,488513,NA,NA,NA
2020-09-04,498989,NA,NA,NA
2020-09-05,498989,NA,NA,NA
2020-09-06,498989,NA,NA,NA
2020-09-07,525549,NA,NA,NA
2020-09-08,534513,NA,NA,NA
2020-09-09,543379,NA,NA,NA
2020-09-10,554143,NA,NA,NA
2020-09-11,566326,NA,NA,NA
2020-09-12,566326,NA,NA,NA
2020-09-13,566326,NA,NA,NA
2020-09-14,593730,NA,NA,NA
2020-09-15,603167,NA,NA,NA
2020-09-16,614360,NA,NA,NA
2020-09-17,625651,NA,NA,NA
2020-09-18,640040,NA,NA,NA
2020-09-19,640040,NA,NA,NA
2020-09-20,640040,NA,NA,NA
2020-09-21,671468,NA,NA,NA
2020-09-22,682267,NA,NA,NA
2020-09-23,693556,NA,NA,NA
2020-09-24,704209,NA,NA,NA
2020-09-25,716481,NA,NA,NA
2020-09-26,716481,NA,NA,NA
2020-09-27,716481,NA,NA,NA
2020-09-28,748266,NA,NA,NA
2020-09-29,748266,NA,NA,NA
2020-09-30,769188,NA,NA,NA
2020-10-01,778607,NA,NA,NA
2020-10-02,789932,NA,NA,NA
2020-10-03,789932,NA,NA,NA
2020-10-04,789932,NA,NA,NA
2020-10-05,813412,NA,NA,NA
2020-10-06,825410,NA,NA,NA
2020-10-07,835901,NA,NA,NA
2020-10-08,848324,NA,NA,NA
2020-10-09,861112,NA,NA,NA
2020-10-10,861112,NA,NA,NA
2020-10-11,861112,NA,NA,NA
2020-10-12,888968,NA,NA,NA
2020-10-13,896086,NA,NA,NA
2020-10-14,908056,NA,NA,NA
2020-10-15,921374,NA,NA,NA
2020-10-16,936560,NA,NA,NA
2020-10-17,936560,NA,NA,NA
2020-10-18,936560,NA,NA,NA
2020-10-19,974449,NA,NA,NA
2020-10-20,988322,NA,NA,NA
2020-10-21,1005295,NA,NA,NA
2020-10-22,1026281,NA,NA,NA
2020-10-23,1046132,NA,NA,NA
2020-10-24,1046132,NA,NA,NA
2020-10-25,1046132,NA,NA,NA
2020-10-26,1098320,NA,NA,NA
2020-10-27,1116738,NA,NA,NA
2020-10-28,1136503,NA,NA,NA
2020-10-29,1160083,NA,NA,NA
2020-10-30,1185678,NA,NA,NA
2020-10-31,1185678,NA,NA,NA
2020-11-01,1185678,NA,NA,NA
2020-11-02,1240697,NA,NA,NA
2020-11-03,1259366,NA,NA,NA
2020-11-04,1284408,NA,NA,NA
2020-11-05,1306316,NA,NA,NA
2020-11-06,1328832,NA,NA,NA
2020-11-07,1328832,NA,NA,NA
2020-11-08,1328832,NA,NA,NA
2020-11-09,1381218,NA,NA,NA
2020-11-10,1381218,NA,NA,NA
2020-11-11,1417709,NA,NA,NA
2020-11-12,1437220,NA,NA,NA
2020-11-13,1458591,NA,NA,NA
2020-11-14,1458591,NA,NA,NA
2020-11-15,1458591,NA,NA,NA
2020-11-16,1496864,NA,NA,NA
2020-11-17,1510023,NA,NA,NA
2020-11-18,1525341,NA,NA,NA
2020-11-19,1541574,NA,NA,NA
2020-11-20,1556730,NA,NA,NA
2020-11-21,1556730,NA,NA,NA
2020-11-22,1556730,NA,NA,NA
2020-11-23,1582616,NA,NA,NA
2020-11-24,1594844,NA,NA,NA
2020-11-25,1605066,NA,NA,NA
2020-11-26,1617355,NA,NA,NA
2020-11-27,1628208,NA,NA,NA
2020-11-28,1628208,NA,NA,NA
2020-11-29,1628208,NA,NA,NA
2020-11-30,1648187,NA,NA,NA
2020-12-01,1656444,NA,NA,NA
2020-12-02,1665775,NA,NA,NA
2020-12-03,1675902,NA,NA,NA
2020-12-04,1684647,NA,NA,NA
2020-12-05,1684647,NA,NA,NA
2020-12-06,1684647,NA,NA,NA
2020-12-07,1702328,NA,NA,NA
2020-12-08,1702328,NA,NA,NA
2020-12-09,1712101,NA,NA,NA
2020-12-10,1720056,NA,NA,NA
2020-12-11,1730575,NA,NA,NA
2020-12-12,1730575,NA,NA,NA
2020-12-13,1730575,NA,NA,NA
2020-12-14,1751884,NA,NA,NA
2020-12-15,1762212,NA,NA,NA
2020-12-16,1773290,NA,NA,NA
2020-12-17,1785421,NA,NA,NA
2020-12-18,1797236,NA,NA,NA
2020-12-19,1797236,NA,NA,NA
2020-12-20,1797236,NA,NA,NA
2020-12-21,1819249,NA,NA,NA
2020-12-22,1829903,NA,NA,NA
2020-12-23,1842289,NA,NA,NA
2020-12-24,1854951,NA,NA,NA
2020-12-25,1854951,NA,NA,NA
2020-12-26,1854951,NA,NA,NA
2020-12-27,1854951,NA,NA,NA
2020-12-28,1879413,NA,NA,NA
2020-12-29,1893502,NA,NA,NA
2020-12-30,1910218,NA,NA,NA
2020-12-31,1928265,NA,NA,NA
2021-01-01,1928265,NA,NA,NA
2021-01-02,1928265,NA,NA,NA
2021-01-03,1928265,NA,NA,NA
2021-01-04,1958844,NA,NA,NA
2021-01-05,1982544,NA,NA,NA
2021-01-06,1982544,NA,NA,NA
2021-01-07,2024904,NA,NA,NA
2021-01-08,2050360,NA,NA,NA
2021-01-09,2050360,NA,NA,NA
2021-01-10,2050360,NA,NA,NA
2021-01-11,2111782,NA,NA,NA
2021-01-12,2137220,NA,NA,NA
2021-01-13,2176089,NA,NA,NA
2021-01-14,2211967,NA,NA,NA
2021-01-15,2252164,NA,NA,NA
2021-01-16,2252164,NA,NA,NA
2021-01-17,2252164,NA,NA,NA
2021-01-18,2336451,NA,NA,NA
2021-01-19,2370742,NA,NA,NA
2021-01-20,2412318,NA,NA,NA
2021-01-21,2456675,NA,NA,NA
2021-01-22,2499560,NA,NA,NA
2021-01-23,2499560,NA,NA,NA
2021-01-24,2499560,NA,NA,NA
2021-01-25,2593382,NA,NA,NA
2021-01-26,2629817,NA,NA,NA
2021-01-27,2670102,NA,NA,NA
2021-01-28,2705001,NA,NA,NA
2021-01-29,2743119,NA,NA,NA
2021-01-30,2743119,NA,NA,NA
2021-01-31,2743119,NA,NA,NA
2021-02-01,2822805,NA,NA,NA
2021-02-02,2851869,NA,NA,NA
2021-02-03,2883465,NA,NA,NA
2021-02-04,2913425,NA,NA,NA
2021-02-05,2941990,NA,NA,NA
2021-02-06,2941990,NA,NA,NA
2021-02-07,2941990,NA,NA,NA
2021-02-08,2989085,NA,NA,NA
2021-02-09,3005487,NA,NA,NA
2021-02-10,3023601,NA,NA,NA
2021-02-11,3041454,NA,NA,NA
2021-02-12,3056035,NA,NA,NA
2021-02-13,3056035,NA,NA,NA
2021-02-14,3056035,NA,NA,NA
2021-02-15,3086286,NA,NA,NA
2021-02-16,3096343,NA,NA,NA
2021-02-17,3107172,NA,NA,NA
2021-02-18,3121687,NA,NA,NA
2021-02-19,3133122,NA,NA,NA
2021-02-20,3133122,NA,NA,NA
2021-02-21,3133122,NA,NA,NA
2021-02-22,3153971,NA,NA,NA
2021-02-23,3161432,NA,NA,NA
2021-02-24,3170644,NA,NA,NA
2021-02-25,3180212,NA,NA,NA
2021-02-26,3188553,NA,NA,NA
2021-02-27,3188553,NA,NA,NA
2021-02-28,3188553,NA,NA,NA
2021-03-01,3204531,NA,NA,NA
2021-03-02,3130184,NA,NA,NA
2021-03-03,3136321,NA,NA,NA
2021-03-04,3142358,NA,NA,NA
2021-03-05,3149012,NA,NA,NA
2021-03-06,3149012,NA,NA,NA
2021-03-07,3149012,NA,NA,NA
2021-03-08,3160970,NA,NA,NA
2021-03-09,3164982,NA,NA,NA
2021-03-10,3172101,NA,NA,NA
2021-03-11,3178356,NA,NA,NA
2021-03-12,3183704,NA,NA,NA
2021-03-13,3183704,NA,NA,NA
2021-03-14,3183704,NA,NA,NA
2021-03-15,3195062,NA,NA,NA
2021-03-16,3200024,NA,NA,NA
2021-03-17,3206116,NA,NA,NA
2021-03-18,3212332,NA,NA,NA
2021-03-19,3212332,NA,NA,NA
2021-03-20,3212332,NA,NA,NA
2021-03-21,3212332,NA,NA,NA
2021-03-22,3228803,NA,NA,NA
2021-03-23,3234319,NA,NA,NA
2021-03-24,3234319,NA,NA,NA
2021-03-25,3247738,NA,NA,NA
2021-03-26,3255324,NA,NA,NA
2021-03-27,3255324,NA,NA,NA
2021-03-28,3255324,NA,NA,NA
2021-03-29,3270825,NA,NA,NA
2021-03-30,3275819,NA,NA,NA
2021-03-31,3284353,NA,NA,NA
2021-04-01,3291394,NA,NA,NA
2021-04-02,3291394,NA,NA,NA
2021-04-03,3300965,NA,NA,NA
2021-04-04,3300965,NA,NA,NA
2021-04-05,3311325,NA,NA,NA
2021-04-06,3317948,NA,NA,NA
2021-04-07,3326736,NA,NA,NA
2021-04-08,3336637,NA,NA,NA
2021-04-09,3347512,NA,NA,NA
2021-04-10,3347512,NA,NA,NA
2021-04-11,3347512,NA,NA,NA
2021-04-12,3370256,NA,NA,NA
2021-04-13,3376548,NA,NA,NA
2021-04-14,3387022,NA,NA,NA
2021-04-15,3396685,NA,NA,NA
2021-04-16,3407283,NA,NA,NA
2021-04-17,3407283,NA,NA,NA
2021-04-18,3407283,NA,NA,NA
2021-04-19,3428354,NA,NA,NA
2021-04-20,3428354,NA,NA,NA
2021-04-21,3446072,NA,NA,NA
2021-04-22,3456886,NA,NA,NA
2021-04-23,3468617,NA,NA,NA
2021-04-24,3468617,NA,NA,NA
2021-04-25,3468617,NA,NA,NA
2021-04-26,3488469,NA,NA,NA
2021-04-27,3496134,NA,NA,NA
2021-04-28,3504799,NA,NA,NA
2021-04-29,3514942,NA,NA,NA
2021-04-30,3524077,NA,NA,NA
2021-05-01,3524077,NA,NA,NA
2021-05-02,3524077,NA,NA,NA
2021-05-03,3540430,NA,NA,NA
2021-05-04,3544945,NA,NA,NA
2021-05-05,3551262,NA,NA,NA
2021-05-06,3559222,NA,NA,NA
2021-05-07,3567408,NA,NA,NA
2021-05-08,3567408,NA,NA,NA
2021-05-09,3567408,NA,NA,NA
2021-05-10,3581392,NA,NA,NA
2021-05-11,3586333,NA,NA,NA
2021-05-12,3592751,NA,NA,NA
2021-05-13,3598452,NA,NA,NA
2021-05-14,3604799,NA,NA,NA
2021-05-15,3604799,NA,NA,NA
2021-05-16,3604799,NA,NA,NA
2021-05-17,3615860,NA,NA,NA
2021-05-18,3619848,NA,NA,NA
2021-05-19,3625928,NA,NA,NA
2021-05-20,3631661,NA,NA,NA
2021-05-21,3636453,NA,NA,NA
2021-05-22,3636453,NA,NA,NA
2021-05-23,3636453,NA,NA,NA
2021-05-24,3647520,NA,NA,NA
2021-05-25,3652879,NA,NA,NA
2021-05-26,3657886,NA,NA,NA
2021-05-27,3663176,NA,NA,NA
2021-05-28,3668658,NA,NA,NA
2021-05-29,3668658,NA,NA,NA
2021-05-30,3668658,NA,NA,NA
2021-05-31,3678390,NA,NA,NA
2021-06-01,3682778,NA,NA,NA
2021-06-02,3687762,NA,NA,NA
2021-06-03,3693012,NA,NA,NA
2021-06-04,3697981,NA,NA,NA
2021-06-05,3697981,NA,NA,NA
2021-06-06,3697981,NA,NA,NA
2021-06-07,3707523,NA,NA,NA
2021-06-08,3711027,NA,NA,NA
2021-06-09,3715454,NA,NA,NA
2021-06-10,3729458,NA,NA,NA
2021-06-11,3733600,NA,NA,NA
2021-06-12,3733600,NA,NA,NA
2021-06-13,3733600,NA,NA,NA
2021-06-14,3741767,NA,NA,NA
2021-06-15,3745199,NA,NA,NA
2021-06-16,3749031,NA,NA,NA
2021-06-17,3753228,NA,NA,NA
2021-06-18,3757442,NA,NA,NA
2021-06-19,3757442,NA,NA,NA
2021-06-20,3757442,NA,NA,NA
2021-06-21,3764651,NA,NA,NA
2021-06-22,3768691,NA,NA,NA
2021-06-23,3773032,NA,NA,NA
2021-06-24,3777539,NA,NA,NA
2021-06-25,3782463,NA,NA,NA
2021-06-26,3782463,NA,NA,NA
2021-06-27,3782463,NA,NA,NA
2021-06-28,3792642,NA,NA,NA
2021-06-29,3799733,NA,NA,NA
2021-06-30,3808960,NA,NA,NA
2021-07-01,3821305,NA,NA,NA
2021-07-02,3833868,NA,NA,NA
2021-07-03,3833868,NA,NA,NA
2021-07-04,3833868,NA,NA,NA
2021-07-05,3866475,NA,NA,NA
2021-07-06,3880612,NA,NA,NA
2021-07-07,3897996,NA,NA,NA
2021-07-08,3915313,NA,NA,NA
2021-07-09,3937192,NA,NA,NA
2021-07-10,3937192,NA,NA,NA
2021-07-11,3937192,NA,NA,NA
2021-07-12,3971124,NA,NA,NA
2021-07-13,4015084,NA,NA,NA
2021-07-14,4041474,NA,NA,NA
2021-07-15,4069162,NA,NA,NA
2021-07-16,4100222,NA,NA,NA
2021-07-17,4100222,NA,NA,NA
2021-07-18,4100222,NA,NA,NA
2021-07-19,4161850,NA,NA,NA
2021-07-20,4189136,NA,NA,NA
2021-07-21,4219723,NA,NA,NA
2021-07-22,4249258,NA,NA,NA
2021-07-23,4280429,NA,NA,NA
2021-07-24,4280429,NA,NA,NA
2021-07-25,4280429,NA,NA,NA
2021-07-26,4342054,NA,NA,NA
2021-07-27,4368453,NA,NA,NA
2021-07-28,4395602,NA,NA,NA
2021-07-29,4422291,NA,NA,NA
2021-07-30,4447044,NA,NA,NA
2021-07-31,4447044,NA,NA,NA
2021-08-01,4447044,NA,NA,NA
2021-08-02,4502983,NA,NA,NA
2021-08-03,4523310,NA,NA,NA
2021-08-04,4545184,NA,NA,NA
2021-08-05,4566571,NA,NA,NA
2021-08-06,4588132,NA,NA,NA
2021-08-07,4588132,NA,NA,NA
2021-08-08,4588132,NA,NA,NA
2021-08-09,4627770,NA,NA,NA
2021-08-10,4643450,NA,NA,NA
2021-08-11,4660473,NA,NA,NA
2021-08-12,4677883,NA,NA,NA
2021-08-13,4693540,NA,NA,NA
2021-08-14,4693540,NA,NA,NA
2021-08-15,4693540,NA,NA,NA
2021-08-16,4719266,NA,NA,NA
2021-08-17,4733602,NA,NA,NA
2021-08-18,4745558,NA,NA,NA
2021-08-19,4758003,NA,NA,NA
2021-08-20,4770453,NA,NA,NA
2021-08-21,4770453,NA,NA,NA
2021-08-22,4770453,NA,NA,NA
2021-08-23,4794352,NA,NA,NA
2021-08-24,4804424,NA,NA,NA
2021-08-25,4815205,NA,NA,NA
2021-08-26,4822320,NA,NA,NA
2021-08-27,4831809,NA,NA,NA
2021-08-28,4831809,NA,NA,NA
2021-08-29,4831809,NA,NA,NA
2021-08-30,4847298,NA,NA,NA
2021-08-31,4855065,NA,NA,NA
2021-09-01,4861883,NA,NA,NA
2021-09-02,4871444,NA,NA,NA
2021-09-03,4877755,NA,NA,NA
2021-09-04,4877755,NA,NA,NA
2021-09-05,4877755,NA,NA,NA
2021-09-06,4887112,NA,NA,NA
2021-09-07,4892640,NA,NA,NA
2021-09-08,4898258,NA,NA,NA
2021-09-09,4903021,NA,NA,NA
2021-09-10,4907461,NA,NA,NA
2021-09-11,4907461,NA,NA,NA
2021-09-12,4907461,NA,NA,NA
2021-09-13,4915265,NA,NA,NA
2021-09-14,4918526,NA,NA,NA
2021-09-15,4922249,NA,NA,NA
2021-09-16,4926324,NA,NA,NA
2021-09-17,4929546,NA,NA,NA
2021-09-18,4929546,NA,NA,NA
2021-09-19,4929546,NA,NA,NA
2021-09-20,4935534,NA,NA,NA
2021-09-21,4935534,NA,NA,NA
2021-09-20,NA,4932377,4932489,4932589
2021-09-21,NA,4935238,4935400,4935545
2021-09-22,NA,4938081,4938280,4938456
2021-09-23,NA,4940900,4941125,4941331
2021-09-24,NA,4943701,4943950,4944187
2021-09-25,NA,4946465,4946738,4946993
2021-09-26,NA,4949201,4949495,4949775
2021-09-27,NA,4951901,4952226,4952502
2021-09-28,NA,4954604,4954928,4955224
2021-09-29,NA,4957254,4957596,4957917
2021-09-30,NA,4959882,4960232,4960586
2021-10-01,NA,4962474,4962844,4963222
2021-10-02,NA,4965046,4965430,4965819
2021-10-03,NA,4967604,4967990,4968398
